rank,category,name,price,location,rating,sold,url,image
36,laptop,"Apple MacBook Air 2017 i5 13"" 8GB RAM 256GB SSD Ori Box &amp; Charger GR-B",4099000.0,Jakarta Selatan,5.0,50.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/15/2f146969-25a9-454b-b79f-3b7bdc9bf579.jpg
16,laptop,"Laptop Murah Samsung Chromebook 4 Celeron 32GB 4GB 11""6 HD RESMI SEIN",1999000.0,Jakarta Pusat,4.9,4000.0,https://www.tokopedia.com/distrilapid/laptop-murah-samsung-chromebook-4-celeron-32gb-4gb-11-6-hd-resmi-sein-non-bundling,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/22/df1bfd93-a924-45d1-8521-9308f177b090.jpg
5,laptop,Laptop Asus E402YA AMD E2-7015 - 4GB 1TB - WIN10,2520000.0,Jakarta Barat,5.0,30.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/1/11/b02c6ba9-e867-40b8-8442-3bd1e9ddd1ad.png
42,laptop,"MacBook Air 2022 M2 Chip 13"" Inch 512GB 256GB RAM 8GB Apple IBOX",17000000.0,Jakarta Pusat,4.9,1000.0,https://www.tokopedia.com/studioponsel/macbook-air-2022-m2-chip-13-inch-512gb-256gb-ram-8gb-apple-ibox-inter-256gb-grey,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/12/fe20fea9-a892-45fe-b536-cd409f4b75c2.jpg
2,laptop,LAPTOP TABLET OK ! LENOVO THINKPAD YOGA 11E N3350 RAM 8GB/256GB SSD - 4GB/128GB NO TS,1390000.0,Jakarta Barat,4.8,50.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/28/3997803b-708d-458e-9c1b-09ff11d1249b.jpg
62,laptop,MSI MODERN 14 RYZEN 5 5625U 8GB 512SSD W11 14FHD IPS BLIT -C5M.005,7099000.0,Jakarta Utara,5.0,100.0,https://www.tokopedia.com/amd-id/msi-modern-14-ryzen-5-5625u-8gb-512ssd-w11-14fhd-ips-blit-c5m-005-black-8gb-tanpa-antigores,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/1/31/5346f60e-eefd-4ac5-9462-34f91b06f258.png
61,laptop,"HP Victus 15-fa0008TX i7-12700H 8GB/512SSD/15.6""/RTX3050/Win11+OHS",13949000.0,Jakarta Utara,5.0,100.0,https://www.tokopedia.com/agreshpauthorized/hp-victus-15-fa0008tx-i7-12700h-8gb-512ssd-15-6-rtx3050-win11-ohs-harga-promo-8gb-512ssd,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/9/192a2d9d-21b8-453d-9f40-01a4c97bdf3a.png
45,laptop,Lenovo Ideapad Gaming 3 GeForce RTX™ 3050 - Ryzen 5 5600 8GB 512SSD,11699000.0,Jakarta Utara,4.9,1000.0,https://www.tokopedia.com/nvidiageforcelt/lenovo-ideapad-gaming-3-geforce-rtx-3050-ryzen-5-5600-8gb-512ssd-tanpa-antigores-8gb,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/8/06be9729-373b-4a7f-a5fd-936ada8b21ee.png
55,laptop,Lenovo Ideapad Gaming 3i GeForce RTX™ 3050 -I5 12500H 8GB 512SSD,13399000.0,Jakarta Utara,4.9,250.0,https://www.tokopedia.com/nvidiageforcelt/lenovo-ideapad-gaming-3i-geforce-rtx-3050-i5-12500h-8gb-512ssd-no-bundling-i5-12450h-8gb,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/1/e0790cf0-193d-418a-8d39-33e8080ca955.png
26,laptop,ASUS TUF A15 FA506IC RYZEN 7-4800H 8GB 512GB RTX3050 4GB 144Hz W10 OHS,11859000.0,Jakarta Pusat,4.9,250.0,https://www.tokopedia.com/collinsofficial/asus-tuf-a15-fa506ic-ryzen-7-4800h-8gb-512gb-rtx3050-4gb-144hz-w10-ohs,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/27/64801d80-51e5-482a-90eb-223fb592fcd5.jpg
15,laptop,"ASUS VIVOBOOK PRO 14X OLED M3400QA RYZEN 7-5800H 16G 512G 14"" 2.8K W11",10099000.0,Jakarta Pusat,4.9,250.0,https://www.tokopedia.com/protechcom/asus-vivobook-pro-14x-oled-m3400qa-ryzen-7-5800h-16g-512g-14-2-8k-w11,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/2/056078b7-c8d8-4dc3-adbd-1d68a212fad9.jpg
22,laptop,Samsung Chromebook 4 4/32GB 11.6in Garansi Resmi,2299000.0,Jakarta Pusat,4.9,1000.0,https://www.tokopedia.com/pandawatiga/samsung-chromebook-4-4-32gb-11-6in-garansi-resmi-promo-platinum,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/11/93d33251-9981-4b33-8fc3-f9b2c7fdd6a3.jpg
79,laptop,laptop Lenovo thinkpad L570 core i3 gen 6 - ram 8g - ssd 512gb - 15inc - 4GB - HDD 500,1799000.0,Jakarta Pusat,5.0,3.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/13/f56e676c-d373-464d-ad30-a54141d7da48.jpg
